firstName,middleName,lastName,dateOfBirth,city,email,petName
nandi,n,yekabote,01/08/2005,adoni,nandi@gmail.com,cat
srikanth,sri,kamaley,25/05/1999,tirupati,sri@gmail.com,dog
bindu,priya,kuruva,02/09/1999,hyderabad,bindu@gmail.com,cat
nikhil,r,kuruva,10/02/1999,kurnool,nikhil@gmail.com,dog
ramya,r,kosuri,12/06/2000,tirupati,ramya@gmail.com,dog
rajitha,raji,gujjuboeni,30/07/1999,gooty,raji@gmail.com,rabbit
jyothsna,j,desam,05/02/2000,nandyal,jyothsna@gmail.com,dog
karthik,k,sakaray,10/10/1999,bangalore,karthik@gmail.com,dog
akhil,a,pandre,22/11/1998/bangalore,akhil@gmail.com,cat
rohini,r,yekabote,26/09/2000,bidar,rohini@gmail.com,rabbit


